datetime,pilEAUte-Pilote reactor 4-AIT_241-DO-kg/m3,
2019-12-10 00:00:08,0.002041729,
2019-12-10 00:01:08,0.0019375725,
2019-12-10 00:02:08,0.0019220486,
2019-12-10 00:03:08,0.0018871136,
2019-12-10 00:04:08,0.0018914738,
2019-12-10 00:05:08,0.0018558159,
2019-12-10 00:06:08,0.0018796673,
2019-12-10 00:07:08,0.0019720192,
2019-12-10 00:08:08,0.0020285397,
2019-12-10 00:09:08,0.0020530548,
2019-12-10 00:10:08,0.0020734787,
2019-12-10 00:11:08,0.0021176319,
2019-12-10 00:12:08,0.0021151218,
2019-12-10 00:13:08,0.0020390816,
2019-12-10 00:14:08,0.0020181274,
2019-12-10 00:15:08,0.0018512383,
2019-12-10 00:16:08,0.0012948456,
2019-12-10 00:17:08,0.0008894634,
2019-12-10 00:18:08,0.000600584,
2019-12-10 00:19:08,0.0003816109,
2019-12-10 00:20:08,0.0002985535,
2019-12-10 00:21:08,0.0005434666,
2019-12-10 00:22:08,0.001044157,
2019-12-10 00:23:08,0.0014110012,
2019-12-10 00:24:08,0.0018522339,
2019-12-10 00:25:08,0.0020868092,
2019-12-10 00:26:08,0.0022234383,
2019-12-10 00:27:08,0.0023270454,
2019-12-10 00:28:08,0.0023116112,
2019-12-10 00:29:08,0.0022365875,
2019-12-10 00:30:08,0.002143898,
2019-12-10 00:31:08,0.0020296879,
2019-12-10 00:32:08,0.0018752365,
2019-12-10 00:33:08,0.0018154411,
2019-12-10 00:34:08,0.0017697849,
2019-12-10 00:35:08,0.001783987,
2019-12-10 00:36:08,0.0019011517,
2019-12-10 00:37:08,0.0019766254,
2019-12-10 00:38:08,0.0020261383,
2019-12-10 00:39:08,0.0020380192,
2019-12-10 00:40:08,0.0020779438,
2019-12-10 00:41:08,0.0020741405,
2019-12-10 00:42:08,0.0020790672,
2019-12-10 00:43:08,0.0020849915,
2019-12-10 00:44:08,0.0021168995,
2019-12-10 00:45:08,0.0019129562,
2019-12-10 00:46:08,0.0016562939,
2019-12-10 00:47:08,0.0012933159,
2019-12-10 00:48:08,0.0010613689,
2019-12-10 00:49:08,0.0008807678,
2019-12-10 00:50:08,0.000709465,
2019-12-10 00:51:08,0.0008137035,
2019-12-10 00:52:08,0.0011175842,
2019-12-10 00:53:08,0.0016344852,
2019-12-10 00:54:08,0.0019503422,
2019-12-10 00:55:08,0.0021658688,
2019-12-10 00:56:08,0.0023978901,
2019-12-10 00:57:08,0.0024130325,
2019-12-10 00:58:08,0.0023514404,
2019-12-10 00:59:08,0.0021479492,
2019-12-10 01:00:08,0.0020600128,
2019-12-10 01:01:08,0.0019654808,
2019-12-10 01:02:08,0.0018403473,
2019-12-10 01:03:08,0.0018392029,
2019-12-10 01:04:08,0.0018366528,
2019-12-10 01:05:08,0.0019407444,
2019-12-10 01:06:08,0.0019996014,
2019-12-10 01:07:08,0.002012598,
2019-12-10 01:08:08,0.0020350418,
2019-12-10 01:09:08,0.002049778,
2019-12-10 01:10:08,0.0020075722,
2019-12-10 01:11:08,0.0020166168,
2019-12-10 01:12:08,0.0020190506,
2019-12-10 01:13:08,0.0019814949,
2019-12-10 01:14:08,0.0019529171,
2019-12-10 01:15:08,0.0020471382,
2019-12-10 01:16:08,0.0018879337,
2019-12-10 01:17:08,0.0014516621,
2019-12-10 01:18:08,0.0011020336,
2019-12-10 01:19:08,0.0007102051,
2019-12-10 01:20:08,0.0004564114,
2019-12-10 01:21:08,0.000322094,
2019-12-10 01:22:08,0.000248106,
2019-12-10 01:23:08,0.0002160568,
2019-12-10 01:24:08,0.0002886696,
2019-12-10 01:25:08,0.0004303169,
2019-12-10 01:26:08,0.0006563473,
2019-12-10 01:27:08,0.0010177269,
2019-12-10 01:28:08,0.0015733395,
2019-12-10 01:29:08,0.0019159966,
2019-12-10 01:30:08,0.002235939,
2019-12-10 01:31:08,0.0023644829,
2019-12-10 01:32:08,0.0023990021,
2019-12-10 01:33:08,0.0023254623,
2019-12-10 01:34:08,0.0021650658,
2019-12-10 01:35:08,0.0020631752,
2019-12-10 01:36:08,0.0019373455,
2019-12-10 01:37:08,0.001881855,
2019-12-10 01:38:08,0.0017978001,
2019-12-10 01:39:08,0.001835371,
2019-12-10 01:40:08,0.0018865948,
2019-12-10 01:41:08,0.0019580154,
2019-12-10 01:42:08,0.002043045,
2019-12-10 01:43:08,0.0020525894,
2019-12-10 01:44:08,0.0020607929,
2019-12-10 01:45:08,0.0020573921,
2019-12-10 01:46:08,0.0020547676,
2019-12-10 01:47:08,0.0020356884,
2019-12-10 01:48:08,0.0020560398,
2019-12-10 01:49:08,0.0018712864,
2019-12-10 01:50:08,0.0015806789,
2019-12-10 01:51:08,0.0013481712,
2019-12-10 01:52:08,0.0010992546,
2019-12-10 01:53:08,0.0008300686,
2019-12-10 01:54:08,0.0006856003,
2019-12-10 01:55:08,0.00057827,
2019-12-10 01:56:08,0.0004888058,
2019-12-10 01:57:08,0.0004401665,
2019-12-10 01:58:08,0.0006111183,
2019-12-10 01:59:08,0.0011068649,
2019-12-10 02:00:08,0.0015654583,
2019-12-10 02:01:08,0.0019023457,
2019-12-10 02:02:08,0.0023003311,
2019-12-10 02:03:08,0.0024065628,
2019-12-10 02:04:08,0.0023988991,
2019-12-10 02:05:08,0.0022849636,
2019-12-10 02:06:08,0.0021591415,
2019-12-10 02:07:08,0.0020495281,
2019-12-10 02:08:08,0.0018650684,
2019-12-10 02:09:08,0.0017875633,
2019-12-10 02:10:08,0.0018023052,
2019-12-10 02:11:08,0.0018611279,
2019-12-10 02:12:08,0.001891655,
2019-12-10 02:13:08,0.0019526138,
2019-12-10 02:14:08,0.002032835,
2019-12-10 02:15:08,0.0020970612,
2019-12-10 02:16:08,0.0020630493,
2019-12-10 02:17:08,0.0020500412,
2019-12-10 02:18:08,0.0020625362,
2019-12-10 02:19:08,0.0020708542,
2019-12-10 02:20:08,0.0020675068,
2019-12-10 02:21:08,0.0020470428,
2019-12-10 02:22:08,0.0018914185,
2019-12-10 02:23:08,0.001705555,
2019-12-10 02:24:08,0.0014799747,
2019-12-10 02:25:08,0.0011777573,
2019-12-10 02:26:08,0.0009809322,
2019-12-10 02:27:08,0.0008150444,
2019-12-10 02:28:08,0.0006684856,
2019-12-10 02:29:08,0.000594429,
2019-12-10 02:30:08,0.0007213402,
2019-12-10 02:31:08,0.0011382465,
2019-12-10 02:32:08,0.0015490417,
2019-12-10 02:33:08,0.0019381752,
2019-12-10 02:34:08,0.0023289127,
2019-12-10 02:35:08,0.00238937,
2019-12-10 02:36:08,0.0024320107,
2019-12-10 02:37:08,0.0023120232,
2019-12-10 02:38:08,0.0022191715,
2019-12-10 02:39:08,0.0020877495,
2019-12-10 02:40:08,0.0019296494,
2019-12-10 02:41:08,0.0018658123,
2019-12-10 02:42:08,0.0018231316,
2019-12-10 02:43:08,0.0017823257,
2019-12-10 02:44:08,0.0018112946,
2019-12-10 02:45:08,0.0019085712,
2019-12-10 02:46:08,0.0019434185,
2019-12-10 02:47:08,0.002076149,
2019-12-10 02:48:08,0.0021102543,
2019-12-10 02:49:08,0.0020985699,
2019-12-10 02:50:08,0.0020661907,
2019-12-10 02:51:08,0.0020737057,
2019-12-10 02:52:08,0.0019103489,
2019-12-10 02:53:08,0.0015958767,
2019-12-10 02:54:08,0.0010919304,
2019-12-10 02:55:08,0.0008116093,
2019-12-10 02:56:08,0.0005664444,
2019-12-10 02:57:08,0.0003249874,
2019-12-10 02:58:08,0.0002750149,
2019-12-10 02:59:08,0.0002123566,
2019-12-10 03:00:08,0.000418623,
2019-12-10 03:01:08,0.0010309906,
2019-12-10 03:02:08,0.0015034676,
2019-12-10 03:03:08,0.0019017925,
2019-12-10 03:04:08,0.0022755146,
2019-12-10 03:05:08,0.002421751,
2019-12-10 03:06:08,0.0024649963,
2019-12-10 03:07:08,0.0023282814,
2019-12-10 03:08:08,0.0021496658,
2019-12-10 03:09:08,0.0019707451,
2019-12-10 03:10:08,0.0018562851,
2019-12-10 03:11:08,0.0018241253,
2019-12-10 03:12:08,0.0017419453,
2019-12-10 03:13:08,0.0018284931,
2019-12-10 03:14:08,0.0019190521,
2019-12-10 03:15:08,0.0020088539,
2019-12-10 03:16:08,0.0020707684,
2019-12-10 03:17:08,0.0021241093,
2019-12-10 03:18:08,0.0021125145,
2019-12-10 03:19:08,0.0020786362,
2019-12-10 03:20:08,0.0020233707,
2019-12-10 03:21:08,0.0019292107,
2019-12-10 03:22:08,0.001776844,
2019-12-10 03:23:08,0.0015273094,
2019-12-10 03:24:08,0.0010951462,
2019-12-10 03:25:08,0.0007953606,
2019-12-10 03:26:08,0.0005710964,
2019-12-10 03:27:08,0.0003691559,
2019-12-10 03:28:08,0.0002734566,
2019-12-10 03:29:08,0.000208622,
